Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/generate,10,0,200.0,226.57289179915097,188.83095899946056,447.36145800561644,270.0,0.06127133240778548,0.0,200,210,210,210,450,450,450,450,450,450,450
GET,/api/test/1,368,0,160.0,165.29897020392008,154.42604199051857,339.24704100354575,92.0,2.2547850326065055,0.0,160,170,170,170,170,170,180,180,340,340,340
GET,/api/test/2,291,291,160.0,169.64145206275822,154.27991698379628,721.7197919962928,87.0,1.7829957730665573,1.7829957730665573,160,170,170,170,170,170,200,330,720,720,720
GET,/api/test/3,220,100,160.0,165.83704166894842,153.66495799389668,310.64304200117476,89.72727272727273,1.3479693129712804,0.6127133240778547,160,170,170,170,170,170,180,190,310,310,310
GET,/api/test/4,174,159,160.0,163.67457948334717,154.34708399698138,190.01308298902586,87.43103448275862,1.0661211838954674,0.9742141852837891,160,160,170,170,170,170,180,180,190,190,190
GET,/api/test/5,112,0,4200.0,4171.909028965664,4156.368666008348,4319.04541698168,92.0,0.6862389229671974,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4300,4300,4300
GET,/api/test/6,54,0,170.0,182.11869366576946,154.98054199269973,680.2962090005167,108.33333333333333,0.3308651950020416,0.0,170,170,170,170,170,350,350,680,680,680,680
,Aggregated,1229,550,160.0,532.5574932487174,153.66495799389668,4319.04541698168,91.92839707078926,7.530246752916835,3.3699232824282013,160,170,170,170,310,4200,4200,4200,4200,4300,4300
